quote_entry,quoted_smiles,HIPPO Compound ID (xx01zvns2b),HIPPO Compound ID (a71ev2a),HIPPO Compound ID (d68ev3c)
EN300-106689,Cl.Cl.Nc1ccc2c(c1)CNC2,61484,,
EN300-176585,O=C(O)c1cc(F)cc2[nH]nnc12,123049,,
EN300-1590558,N#Cc1c[nH]c2c(C(=O)O)cccc12,122834,,
EN300-26677505,CC(CN)c1ccncc1.Cl.Cl,618,,
EN300-6764593,COCc1ccc(Br)nc1,129215,,
EN300-37114,Cl.Nc1ccnc2ccccc12,128923,,
EN300-125852,CCc1ccnc(C(=O)O)c1,128924,,
EN300-225138,CNc1ccc2c(c1)CNC2.Cl.Cl,77344,,
EN300-18999,O=Cc1ccccn1,128932,,
EN300-50619,c1ccc2c(c1)CNC2,128533,,
EN300-135456,CC(C)(C)OC(=O)C1CCCNC1,128690,,
EN300-1628437,O=C(O)c1ccc(-c2nc[nH]n2)nc1,128846,,
EN300-28281,NCc1ccncn1,128847,,
EN300-113423,Cl.O=C(O)c1ccn2ccnc2c1,128912,,
EN300-02241,CCOC(=O)c1csc(N)n1,129123,,
EN300-259251,OCc1cnn2c1CNCC2,122156,,
EN300-1232054,CCCN1CCCCC1CN,129125,,
EN300-7431714,Cl.O=C(O)C1CCCN(c2cc(=O)[nH]cn2)C1,128643,,
EN300-35650,OCCNc1ccccn1,128861,,
EN300-129334,Nc1ccc2cccc(Cl)c2n1,128862,,
EN300-68837,NCc1ncc[nH]1,128665,,
EN300-65507,CC(=O)NCc1ccc(C(=O)O)o1,129009,,
EN300-86799,O=C(O)C1CCCN(C(=O)c2ccncc2)C1,128657,,
EN300-97459,CC(C)[C@H](N)CO,128658,,
EN300-193609,Cl.Cl.Nc1cnc[nH]1,68051,,
EN300-19540,CCC(=O)O,121245,,
EN300-50402,NCCc1ccncc1,128584,,
EN300-152418,Cl.Cn1cncc1CC(=O)O,128585,,
EN300-20789,O=C(O)CCc1c[nH]c2ccccc12,128673,,97698
EN300-18193,CCNCc1ccncc1,128674,,
EN300-16724,O=C(O)c1cccs1,129150,,
EN300-57529,Nc1ccc(Cl)c2ncccc12,129151,,
EN300-152798,Cl.Cl.NCc1ccc2c(c1)CNC2,61579,,
EN300-1244816,Cc1nnnn1CC(=O)O,128501,,
EN300-112459,C1CC2(C1)CNC2.Cl,128799,,
EN300-266320,O=C(O)c1ccc(-c2ccccn2)nc1,128850,,
EN300-216851,Cl.Cl.N[C@@H]1CCCNC1,128465,,
EN300-27306,COc1nc2ccccc2cc1C=O,128466,,
EN300-303593,Cl.c1cnn(C2CCCNC2)c1,7609,,
EN300-51961,CCC(C)C(=O)NCC(=O)O,128557,,
EN300-21700,O=C(O)c1ccnc2ccccc12,128678,,
EN300-6489057,Cc1cc(N)c2ncccc2c1.Cl,128679,,
EN300-702796,Cl.O=C(O)c1c(F)ccc2[nH]cnc12,128693,,
EN300-657410,Cl.NC(CO)c1ncc[nH]1,128694,,
EN300-309701,O=C(O)c1ccc2c(c1)C1(CCOCC1)C(=O)N2,124938,,
EN300-30997962,N#Cc1csc2ccc(C(=O)O)cc12,126639,,
EN300-106530,CN1Cc2ccc(N)cc2C1.Cl.Cl,127535,,
EN300-112361,CC1(C)C(=O)Nc2ccc(C(=O)O)cc21,127537,,
EN300-1601419,Nc1ccc2c(c1)CNC2=O,123714,,
EN300-6481671,COC(=O)c1cc(Cl)c2[nH]cc(C)c2c1,128069,,
EN300-254951,CC(N)Cc1c[nH]cn1.Cl.Cl,48740,,
EN300-310118,N#Cc1cc2cccnc2nc1Cl,129782,,
EN300-42819,O=C1CCC(C(=O)O)CN1,128504,,
EN300-77094,Nc1ccn(-c2ccncc2)n1,128505,,
EN300-655536,Cl.O=C(O)CN1CCNCC1,128564,,
EN300-213135,Cl.NCC1CCC(=O)NC1,128565,,
EN300-137433,O=C(O)CCc1cncc2ccccc12,128639,,
EN300-141474,Cl.Cl.NCc1nc(CO)cs1,128640,,
EN300-18989,CC(C)N,121697,,
EN300-191318,Brc1ccnc2ccsc12,128698,,
EN300-30137,Nc1cccc2ncccc12,65266,,
EN300-249430,CCSc1cccnc1C(=O)O,128973,,
EN300-1072125,Cl.Cl.c1cc(C2CCNC2)[nH]n1,60620,,
EN300-222693,Cl.O=C(O)CCc1cncs1,128514,,
EN300-65463,CNC(=O)CO,129521,,
EN300-28331811,C1CNC2(CCN1)CC2.Cl.Cl,129653,,
EN300-19785,CC(C)(N)CO,121750,,
EN300-41644,Cl.O=C(O)[C@H]1NC[C@@H]2C[C@@H]21,129377,,
EN300-26647,O=C(O)c1sccc1-n1cccc1,129747,,
EN300-51443,Brc1cnccn1,129319,,
EN300-7409824,Cl.Cl.Nc1cccc2c1CNC2,61490,,
EN300-41399,OCC1CCOC1,129619,,
EN300-266554,Cl.O=C(O)CCC1CCCN1,129874,,
EN300-79639,Nc1n[nH]c2nc(C(F)(F)F)ccc12,129875,,
EN300-195515,Cl.c1ccc2[nH]c(C3CCNCC3)cc2c1,17848,,
EN300-198933,C=CCNC(=O)CO,129366,,
EN300-93066,Clc1ccnc2ccsc12,129375,,
EN300-19058,C1CNCCNC1,129376,,
EN300-86038,O=C(O)c1cccc2cc[nH]c12,129383,,
EN300-343425,COc1ccc(CC(C)(N)CO)cc1,129384,,
EN300-343910,CC(N)(CO)Cc1ccc(F)cc1.Cl,129392,,
EN300-42996,O=C(O)Cn1c(=O)[nH]c2ccccc21,129416,,
EN300-53656,CC(CN)CO,129417,,
EN300-19017,CCC(C)N,122863,,
EN300-83375,Brc1ccc2ccccc2n1,129481,,
EN300-35798,CC(C(=O)O)n1cnc2ccccc21,70487,,
EN300-157897,CC[C@H](N)CO,129785,,
EN300-189225,Nc1cccc2[nH]c(=O)[nH]c12,69218,,
EN300-174561,Cl.Cn1cncc1CCC(=O)O,129484,,
Z262221634,C1=CN=C(N=C1)N2CCNCC2,63872,,
EN300-42001,O=C(O)Cc1csc2nccn12,129459,,
EN300-1723015,Cl.N[C@H]1c2ccccc2C[C@H]1C(=O)O,124436,,
EN300-52478,CC(C)(C)CN,129603,,
EN300-20873,CC(C)C(C)N,129606,,
EN300-19020,CCCCCN,129622,,
EN300-30298,O.O=CC(F)(F)F,123296,,
EN300-32051,Cl.Cl.NCCc1nc2ccccc2[nH]1,128485,,
EN300-41693,Cl.Cl.Nc1cccc2nc[nH]c12,61791,,
EN300-21589,CCCCCC(=O)O,129884,,
EN300-55963,CC(=O)N(C)C1CCNCC1.Cl,54155,,
EN300-170339,O=C(O)c1cccc2[nH]c(=O)[nH]c12,128998,,
EN300-160263,Cl.O=C(O)[C@H]1CCCNC1,122766,,
EN300-658538,Cl.NC[C@H]1CCCC(=O)N1,128863,,
EN300-62061,Cl.O=C(O)CCCn1ccnc1,129060,,
EN300-1581819,Cl.NCc1nc2ccccn2c1Br,129061,,
EN300-152096,O=C(O)CCc1cnc2ccccc2c1,128922,,
EN300-95416,CCn1cncc1CO,129076,,
EN300-188049,Cl.Cl.Nc1ccn2ccnc2c1,129030,,
EN300-148847,CC(OC(C)(C)C)C(=O)O,129783,,
EN300-56964,C=CCCOC(C)C(=O)O,129784,,
EN300-19153,CCC=O,125675,,
EN300-1657606,Nc1ncnc2scnc12,129816,,
EN300-1273309,Nc1ncnc2cccnc12,129822,,
EN300-86282,C[C@H](N)CO,129781,,
EN300-63856,CNc1ncnc2ccccc12,129838,,
EN300-1278411,CC(C)(C)OC(=O)N[C@H]1c2ccccc2C[C@H]1C(=O)O,135353,,
EN300-45405983,Cl.Nc1ccc2c(c1)CN(C1CC(=O)NC1=O)C2=O,135357,,
EN300-45585904,Nc1ccc2c(c1)CN([C@H]1C[C@H](F)CNC1=O)C2=O,135359,,
